    common | 911 Operator
    common | ATM Technician
    common | Acquisitions Editor
    common | Aircraft Mechanic
    common | Airfield Operations
    common | Alcoholic
    common | Alcoholic
    common | Animal Cart Driver
    common | Apiarist (Beekeeper)
    common | Appliance Repair
    common | Appliance Repair Technician
    common | Appliance Repair Technician
    common | Arborist
    common | Arcade Technician
    common | Armored Car Driver
    common | Aromatherapist
    common | Aromatherapist
    common | Art Appraiser
    common | Astrologer
    common | Astrologer
    common | Auctioneer
    common | Auto Body Repair Technician
    common | Auto Body Repair Technician
    common | Auto Mechanic
    common | Auto Mechanic
    common | Avionics Technician
    common | Baggage Handler
    common | Baggage Inspector
    common | Bailiff
    common | Baker
    common | Baker
    common | Bakery Assistant
    common | Bakery Clerk
    common | Bank Teller
    common | Bank Teller
    common | Barista
    common | Barista
    common | Barista
    common | Bartender
    common | Bartender
    common | Bartender
    common | Basket Weaver
    common | Beggar
    common | Beggar
    common | Bellhop
    common | Bellhop
    common | Bicycle Messenger
    common | Bill Poster
    common | Billboard Painter
    common | Blacksmith
    common | Book Appraiser
    common | Bookie
    common | Booking Agent
    common | Border Guard
    common | Bouncer
    common | Braille Transcriber
    common | Brand Ambassador
    common | Bricklayer
    common | Bricklayer
    common | Building Superintendent
    common | Building Superintendent
    common | Bulldozer Operator
    common | Bulldozer Operator
    common | Burger Flipper
    common | Bus Driver
    common | Bus Driver
    common | Bus Driver
    common | Business Analyst
    common | Busker
    common | Butcher
    common | Butcher
    common | Butcher
    common | Butcher Shop Worker
    common | Buyer (Retail)
    common | Cab Driver
    common | Cable Installer
    common | Call Center Agent
    common | Call Center Agent
    common | Call Center Agent
    common | Calligrapher
    common | Cam Model
    common | Cam Model
    common | Candle Maker
    common | Candy Shop Worker
    common | Cannabis Grower
    common | Car Detailer
    common | Car Detailer
    common | Car Wash Attendant
    common | Carnival Ride Operator
    common | Carpenter
    common | Carpenter
    common | Carpet Cleaner
    common | Carpet Cleaner
    common | Carpet Fitter
    common | Carpet Fitter
    common | Cashier
    common | Cashier
    common | Casting Director
    common | Cat Sitter
    common | Category Manager
    common | Caterer
    common | Caterer
    common | Cattle Farmer
    common | Cheese Maker
    common | Chimney Sweep
    common | Chimney Sweep
    common | Chiropractor
    common | Chiropractor
    common | Chocolatier
    common | Choir Director
    common | Chronic Gambler
    common | Chronic Gambler
    common | Cider Maker
    common | City Planner
    common | Cleaner
    common | Cleaner/Janitor
    common | Clown
    common | Clown
    common | Coast Guard Crew
    common | Coat Check Attendant
    common | Coat Check Attendant
    common | Cobbler
    common | Coffee Roaster
    common | Composer
    common | Computer Repair
    common | Concession Stand Worker
    common | Concrete Finisher
    common | Concrete Finisher
    common | Conservation Officer
    common | Construction Laborer
    common | Copier Technician
    common | Copy Editor
    common | Copy Shop Attendant
